Unnamed: 0,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID,Vehicle Type
1286,RESERVED,CHEVROLET,EXPRESS,2014.0,BLACK,Bio-Diesel,N,CHICAGO PRIVATE TOURS LLC,CHICAGO,IL,60653.0,,,12009Charter Sightseeing,Charter Sightseeing
2095,INACTIVE,MERCEDES,SPRINTER,2010.0,SILVER,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,,,12248Charter Sightseeing,Charter Sightseeing
7950,INACTIVE,VAN HOOL,TD925,2008.0,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,IL,60609.0,,,13527Charter Sightseeing,Charter Sightseeing
8700,INACTIVE,MERCEDES,SPRINTER,2010.0,SILVER,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,,,12248Charter Sightseeing,Charter Sightseeing
9359,INACTIVE,VAN HOOL,TD925,2008.0,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,IL,60609.0,,,13528Charter Sightseeing,Charter Sightseeing
9441,INACTIVE,MERCEDES,SPRINTER,2015.0,BLACK,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,,,12025Charter Sightseeing,Charter Sightseeing
9505,INACTIVE,VAN HOOL,TD925,2008.0,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,IL,60609.0,,,13513Charter Sightseeing,Charter Sightseeing
11203,INACTIVE,MERCEDES,SPRINTER,2012.0,WHITE,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,,,13830Charter Sightseeing,Charter Sightseeing
13728,INACTIVE,MERCEDES,SPRINTER,2016.0,SILVER,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,,,12026Charter Sightseeing,Charter Sightseeing
959,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,256Taxi,Taxi
1230,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,AMBROSLY INC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,1616Taxi,Taxi
